,bootstrap,ccp_alpha,class_weight,criterion,max_depth,max_features,max_leaf_nodes,max_samples,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_jobs,oob_score,random_state,verbose,warm_start,score,best_parameters
15,True,0.0,,entropy,,0.1,,,0.0,7,2,0.0,2,-1,False,42,0,False,0.8188571428571428,
16,False,0.0,,gini,,0.1,,,0.0,9,2,0.0,2,-1,False,42,0,False,0.8338571428571429,
17,False,0.0,,entropy,,0.1,,,0.0,9,2,0.0,2,-1,False,42,0,False,0.8351428571428572,
18,True,0.0,,gini,,0.1,,,0.0,9,2,0.0,2,-1,False,42,0,False,0.8262857142857143,
19,True,0.0,,entropy,,0.1,,,0.0,9,2,0.0,2,-1,False,42,0,False,0.8262857142857143,
20,False,0.0,,gini,,0.1,,,0.0,11,2,0.0,2,-1,False,42,0,False,0.8391428571428572,"{'n_estimators': 2, 'max_features': 0.1, 'min_samples_split': 2, 'min_samples_leaf': 11, 'bootstrap': False, 'criterion': 'gini', 'random_state': 42, 'n_jobs': -1}"
21,False,0.0,,entropy,,0.1,,,0.0,11,2,0.0,2,-1,False,42,0,False,0.8335714285714285,
22,True,0.0,,gini,,0.1,,,0.0,11,2,0.0,2,-1,False,42,0,False,0.8254285714285714,
23,True,0.0,,entropy,,0.1,,,0.0,11,2,0.0,2,-1,False,42,0,False,0.8274285714285714,
24,False,0.0,,gini,,0.1,,,0.0,13,2,0.0,2,-1,False,42,0,False,0.8372857142857143,
25,False,0.0,,entropy,,0.1,,,0.0,13,2,0.0,2,-1,False,42,0,False,0.8442857142857143,"{'n_estimators': 2, 'max_features': 0.1, 'min_samples_split': 2, 'min_samples_leaf': 13, 'bootstrap': False, 'criterion': 'entropy', 'random_state': 42, 'n_jobs': -1}"
26,True,0.0,,gini,,0.1,,,0.0,13,2,0.0,2,-1,False,42,0,False,0.8314285714285714,
27,True,0.0,,entropy,,0.1,,,0.0,13,2,0.0,2,-1,False,42,0,False,0.8344285714285714,
28,False,0.0,,gini,,0.1,,,0.0,15,2,0.0,2,-1,False,42,0,False,0.8374285714285714,
29,False,0.0,,entropy,,0.1,,,0.0,15,2,0.0,2,-1,False,42,0,False,0.8441428571428572,
30,True,0.0,,gini,,0.1,,,0.0,15,2,0.0,2,-1,False,42,0,False,0.8231428571428572,
31,True,0.0,,entropy,,0.1,,,0.0,15,2,0.0,2,-1,False,42,0,False,0.8258571428571428,
32,False,0.0,,gini,,0.1,,,0.0,17,2,0.0,2,-1,False,42,0,False,0.8451428571428572,"{'n_estimators': 2, 'max_features': 0.1, 'min_samples_split': 2, 'min_samples_leaf': 17, 'bootstrap': False, 'criterion': 'gini', 'random_state': 42, 'n_jobs': -1}"
33,False,0.0,,entropy,,0.1,,,0.0,17,2,0.0,2,-1,False,42,0,False,0.8424285714285714,
34,True,0.0,,gini,,0.1,,,0.0,17,2,0.0,2,-1,False,42,0,False,0.8294285714285714,
35,True,0.0,,entropy,,0.1,,,0.0,17,2,0.0,2,-1,False,42,0,False,0.832,
36,False,0.0,,gini,,0.1,,,0.0,20,2,0.0,2,-1,False,42,0,False,0.836,
37,False,0.0,,entropy,,0.1,,,0.0,20,2,0.0,2,-1,False,42,0,False,0.8424285714285714,
38,True,0.0,,gini,,0.1,,,0.0,20,2,0.0,2,-1,False,42,0,False,0.8255714285714286,
39,True,0.0,,entropy,,0.1,,,0.0,20,2,0.0,2,-1,False,42,0,False,0.8261428571428572,
40,False,0.0,,gini,,0.1,,,0.0,1,4,0.0,2,-1,False,42,0,False,0.8034285714285714,
41,False,0.0,,entropy,,0.1,,,0.0,1,4,0.0,2,-1,False,42,0,False,0.8051428571428572,
42,True,0.0,,gini,,0.1,,,0.0,1,4,0.0,2,-1,False,42,0,False,0.7902857142857143,
43,True,0.0,,entropy,,0.1,,,0.0,1,4,0.0,2,-1,False,42,0,False,0.7975714285714286,
44,False,0.0,,gini,,0.1,,,0.0,3,4,0.0,2,-1,False,42,0,False,0.8175714285714286,
45,False,0.0,,entropy,,0.1,,,0.0,3,4,0.0,2,-1,False,42,0,False,0.8202857142857143,
46,True,0.0,,gini,,0.1,,,0.0,3,4,0.0,2,-1,False,42,0,False,0.8214285714285714,
47,True,0.0,,entropy,,0.1,,,0.0,3,4,0.0,2,-1,False,42,0,False,0.8122857142857143,
48,False,0.0,,gini,,0.1,,,0.0,5,4,0.0,2,-1,False,42,0,False,0.8297142857142857,
49,False,0.0,,entropy,,0.1,,,0.0,5,4,0.0,2,-1,False,42,0,False,0.8274285714285714,
50,True,0.0,,gini,,0.1,,,0.0,5,4,0.0,2,-1,False,42,0,False,0.8172857142857143,
51,True,0.0,,entropy,,0.1,,,0.0,5,4,0.0,2,-1,False,42,0,False,0.825,
52,False,0.0,,gini,,0.1,,,0.0,7,4,0.0,2,-1,False,42,0,False,0.838,
53,False,0.0,,entropy,,0.1,,,0.0,7,4,0.0,2,-1,False,42,0,False,0.8382857142857143,
54,True,0.0,,gini,,0.1,,,0.0,7,4,0.0,2,-1,False,42,0,False,0.8228571428571428,
55,True,0.0,,entropy,,0.1,,,0.0,7,4,0.0,2,-1,False,42,0,False,0.8188571428571428,
56,False,0.0,,gini,,0.1,,,0.0,9,4,0.0,2,-1,False,42,0,False,0.8338571428571429,
57,False,0.0,,entropy,,0.1,,,0.0,9,4,0.0,2,-1,False,42,0,False,0.8351428571428572,
58,True,0.0,,gini,,0.1,,,0.0,9,4,0.0,2,-1,False,42,0,False,0.8262857142857143,
59,True,0.0,,entropy,,0.1,,,0.0,9,4,0.0,2,-1,False,42,0,False,0.8262857142857143,
60,False,0.0,,gini,,0.1,,,0.0,11,4,0.0,2,-1,False,42,0,False,0.8391428571428572,
61,False,0.0,,entropy,,0.1,,,0.0,11,4,0.0,2,-1,False,42,0,False,0.8335714285714285,
62,True,0.0,,gini,,0.1,,,0.0,11,4,0.0,2,-1,False,42,0,False,0.8254285714285714,
63,True,0.0,,entropy,,0.1,,,0.0,11,4,0.0,2,-1,False,42,0,False,0.8274285714285714,
64,False,0.0,,gini,,0.1,,,0.0,13,4,0.0,2,-1,False,42,0,False,0.8372857142857143,
65,False,0.0,,entropy,,0.1,,,0.0,13,4,0.0,2,-1,False,42,0,False,0.8442857142857143,
66,True,0.0,,gini,,0.1,,,0.0,13,4,0.0,2,-1,False,42,0,False,0.8314285714285714,
67,True,0.0,,entropy,,0.1,,,0.0,13,4,0.0,2,-1,False,42,0,False,0.8344285714285714,
68,False,0.0,,gini,,0.1,,,0.0,15,4,0.0,2,-1,False,42,0,False,0.8374285714285714,
69,False,0.0,,entropy,,0.1,,,0.0,15,4,0.0,2,-1,False,42,0,False,0.8441428571428572,
70,True,0.0,,gini,,0.1,,,0.0,15,4,0.0,2,-1,False,42,0,False,0.8231428571428572,
71,True,0.0,,entropy,,0.1,,,0.0,15,4,0.0,2,-1,False,42,0,False,0.8258571428571428,
72,False,0.0,,gini,,0.1,,,0.0,17,4,0.0,2,-1,False,42,0,False,0.8451428571428572,
73,False,0.0,,entropy,,0.1,,,0.0,17,4,0.0,2,-1,False,42,0,False,0.8424285714285714,
74,True,0.0,,gini,,0.1,,,0.0,17,4,0.0,2,-1,False,42,0,False,0.8294285714285714,
75,True,0.0,,entropy,,0.1,,,0.0,17,4,0.0,2,-1,False,42,0,False,0.832,
76,False,0.0,,gini,,0.1,,,0.0,20,4,0.0,2,-1,False,42,0,False,0.836,
77,False,0.0,,entropy,,0.1,,,0.0,20,4,0.0,2,-1,False,42,0,False,0.8424285714285714,
78,True,0.0,,gini,,0.1,,,0.0,20,4,0.0,2,-1,False,42,0,False,0.8255714285714286,
79,True,0.0,,entropy,,0.1,,,0.0,20,4,0.0,2,-1,False,42,0,False,0.8261428571428572,
80,False,0.0,,gini,,0.1,,,0.0,1,6,0.0,2,-1,False,42,0,False,0.8042857142857143,
81,False,0.0,,entropy,,0.1,,,0.0,1,6,0.0,2,-1,False,42,0,False,0.8145714285714286,
82,True,0.0,,gini,,0.1,,,0.0,1,6,0.0,2,-1,False,42,0,False,0.7922857142857143,
83,True,0.0,,entropy,,0.1,,,0.0,1,6,0.0,2,-1,False,42,0,False,0.798,
84,False,0.0,,gini,,0.1,,,0.0,3,6,0.0,2,-1,False,42,0,False,0.8175714285714286,
85,False,0.0,,entropy,,0.1,,,0.0,3,6,0.0,2,-1,False,42,0,False,0.8202857142857143,
86,True,0.0,,gini,,0.1,,,0.0,3,6,0.0,2,-1,False,42,0,False,0.8214285714285714,
87,True,0.0,,entropy,,0.1,,,0.0,3,6,0.0,2,-1,False,42,0,False,0.8122857142857143,
88,False,0.0,,gini,,0.1,,,0.0,5,6,0.0,2,-1,False,42,0,False,0.8297142857142857,
89,False,0.0,,entropy,,0.1,,,0.0,5,6,0.0,2,-1,False,42,0,False,0.8274285714285714,
90,True,0.0,,gini,,0.1,,,0.0,5,6,0.0,2,-1,False,42,0,False,0.8172857142857143,
91,True,0.0,,entropy,,0.1,,,0.0,5,6,0.0,2,-1,False,42,0,False,0.825,
92,False,0.0,,gini,,0.1,,,0.0,7,6,0.0,2,-1,False,42,0,False,0.838,
93,False,0.0,,entropy,,0.1,,,0.0,7,6,0.0,2,-1,False,42,0,False,0.8382857142857143,
94,True,0.0,,gini,,0.1,,,0.0,7,6,0.0,2,-1,False,42,0,False,0.8228571428571428,
95,True,0.0,,entropy,,0.1,,,0.0,7,6,0.0,2,-1,False,42,0,False,0.8188571428571428,
96,False,0.0,,gini,,0.1,,,0.0,9,6,0.0,2,-1,False,42,0,False,0.8338571428571429,
97,False,0.0,,entropy,,0.1,,,0.0,9,6,0.0,2,-1,False,42,0,False,0.8351428571428572,
98,True,0.0,,gini,,0.1,,,0.0,9,6,0.0,2,-1,False,42,0,False,0.8262857142857143,
99,True,0.0,,entropy,,0.1,,,0.0,9,6,0.0,2,-1,False,42,0,False,0.8262857142857143,
100,False,0.0,,gini,,0.1,,,0.0,11,6,0.0,2,-1,False,42,0,False,0.8391428571428572,
101,False,0.0,,entropy,,0.1,,,0.0,11,6,0.0,2,-1,False,42,0,False,0.8335714285714285,
102,True,0.0,,gini,,0.1,,,0.0,11,6,0.0,2,-1,False,42,0,False,0.8254285714285714,
103,True,0.0,,entropy,,0.1,,,0.0,11,6,0.0,2,-1,False,42,0,False,0.8274285714285714,
104,False,0.0,,gini,,0.1,,,0.0,13,6,0.0,2,-1,False,42,0,False,0.8372857142857143,
105,False,0.0,,entropy,,0.1,,,0.0,13,6,0.0,2,-1,False,42,0,False,0.8442857142857143,
106,True,0.0,,gini,,0.1,,,0.0,13,6,0.0,2,-1,False,42,0,False,0.8314285714285714,
107,True,0.0,,entropy,,0.1,,,0.0,13,6,0.0,2,-1,False,42,0,False,0.8344285714285714,
108,False,0.0,,gini,,0.1,,,0.0,15,6,0.0,2,-1,False,42,0,False,0.8374285714285714,
109,False,0.0,,entropy,,0.1,,,0.0,15,6,0.0,2,-1,False,42,0,False,0.8441428571428572,
110,True,0.0,,gini,,0.1,,,0.0,15,6,0.0,2,-1,False,42,0,False,0.8231428571428572,
111,True,0.0,,entropy,,0.1,,,0.0,15,6,0.0,2,-1,False,42,0,False,0.8258571428571428,
112,False,0.0,,gini,,0.1,,,0.0,17,6,0.0,2,-1,False,42,0,False,0.8451428571428572,
113,False,0.0,,entropy,,0.1,,,0.0,17,6,0.0,2,-1,False,42,0,False,0.8424285714285714,
